quiz_id,question,answer,score,category_id
118,"""스카너""의 궁 이름은?",꿰뚫기,2,7
119,"""스몰더""의 궁 이름은?",엄마아아아아,2,7
120,"""소나""의 궁 이름은?",크레센도,1,7
121,"""소라카""의 궁 이름은?",기원,1,7
122,"""스웨인""의 궁 이름은?",악의 승천,2,7
123,"""사일러스""의 궁 이름은?",강탈,1,7
124,"""신드라""의 궁 이름은?",풀려난 힘,2,7
125,"""탐 켄치""의 궁 이름은?",집어삼키기,1,7
126,"""탈리야""의 궁 이름은?",바위술사의 벽,1,7
127,"""탈론""의 궁 이름은?",그림자 공격,2,7
128,"""타릭""의 궁 이름은?",우주의 광휘,2,7
129,"""티모""의 궁 이름은?",유독성 함정,1,7
130,"""쓰레쉬"" 의 궁 이름은?",영혼 감옥,1,7
131,"""트리스타나""의 궁 이름은?",대구경 탄환,1,7
132,"""트런들""의 궁 이름은?",진압,2,7
133,"""트린다미어""의 궁 이름은?",불사의 분노,1,7
134,"""트위스티드 페이트""의 궁 이름은?",운명,2,7
135,"""트위치""의 궁 이름은?",무차별 난사,1,7
136,"""우디르""의 궁 이름은?",날개 돋친 폭풍,2,7
137,"""우르곳""의 궁 이름은?",불사의 공포,2,7
138,"""바루스""의 궁 이름은?",부패의 사슬,2,7
139,"""베인""의 궁 이름은?",결전의 시간,2,7
140,"""베이가""의 궁 이름은?",태초의 폭발,1,7
141,"""벨코즈""의 궁 이름은?",생물 분해 광선,1,7
142,"""벡스""의 궁 이름은?",그림자 파동,2,7
143,"""바이""의 궁 이름은?",정지 명령,1,7
144,"""비에고""의 궁 이름은?",심장 파괴자,1,7
145,"""빅토르""의 궁 이름은?",아케인 폭풍,1,7
146,"""블라디미르""의 궁 이름은?",혈사병,1,7
147,"""볼리베어""의 궁 이름은?",폭풍을 부르는 자,2,7
148,"""워윅""의 궁 이름은?",무한의 구속,2,7
149,"""오공""의 궁 이름은?",회전격,2,7
150,"""자야""의 궁 이름은?",저항의 비상,2,7
151,"""제라스""의 궁 이름은?",비전 의식,2,7
152,"""신짜오""의 궁 이름은?",현월수호,2,7
153,"""요네""의 궁 이름은?",운명봉인,1,7
154,"""요릭""의 궁 이름은?",군도의 장송곡,2,7
155,"""유미""의 궁 이름은?",대단원,2,7
156,"""자크""의 궁 이름은?",바운스,1,7
157,"""제리""의 궁 이름은?",번개 방출,1,7
158,"""직스""의 궁 이름은?",지옥 화염 폭탄,1,7
159,"""질리언""의 궁 이름은?",시간 역행,1,7
160,"""조이""의 궁 이름은?",차원 넘기,1,7
161,"""자이라""의 궁 이름은?",올가미 덩굴,1,7
162,"""흐웨이""의 궁 이름은?",붓 헹구기,1,7
163,"""암베사""의 궁 이름은?",공개처형,2,7
164,"""멜""의 궁 이름은?",황금 일식,1,7
165,"""유나라""의 궁 이름은?",자기 초월,1,7
166,"""카서스""의 궁 이름은 ?",진혼곡,1,7
167,스타크래프트에서 가장 저렴한 공격 유닛은?,저글링,1,5
168,"테란 종족의 공중 유닛으로, 기생충을 부착하여 폭발시키는 기술을 사용하는 유닛은?",사이언스 베슬,2,4
169,프로토스 종족의 기본 공격 유닛을 소환하는 데 필요한 건물은?,게이트웨이,1,5
170,"테란 종족의 영웅 유닛으로, 저그와의 전쟁에서 중요한 역할을 한 캐릭터는?",짐 레이너,2,4
171,스타크래프트1에서 저그의 최종 테크 건물은?,울트라리스크 동굴,1,5
172,"프로토스 종족의 가장 강력한 지상 유닛으로, 막대한 실드를 가진 유닛은?",아칸,2,4
173,"저그 종족의 유닛을 생산하는 건물로, 애벌레를 생성하는 건물은?",해처리,1,5
174,테란 종족의 가장 기본적인 지상 공격 유닛은?,마린,1,4
175,"프로토스 종족의 유닛 중, 공중에 떠다니며 적을 감지하는 유닛은?",옵저버,1,4
176,"저그 종족의 영웅으로, 칼날 여왕으로 알려진 캐릭터는?",케리건,2,7
177,스타크래프트1에서 벙커에 들어갈 수 없는 유닛은?,벌처,2,4
178,"프로토스 종족의 방어 건물로, 지상과 공중을 모두 공격하는 건물은?",포톤 캐논,1,5
179,"프로토스 종족의 공중 유닛 중, '하늘의 왕자'라 불리는 유닛은?",스카웃,2,4
180,스타크래프트1에서 저그의 '히드라'가 변태할 수 있는 유닛은?,러커,1,4
181,"테란 종족의 유닛으로, 상대방의 유닛을 결박시키는 기술을 가진 유닛은?",고스트,1,4
182,"저그 종족의 유닛 중, 건물이나 유닛을 감염시키는 유닛은?",퀸,2,4
183,"프로토스 종족의 건물 중, 유닛의 실드와 에너지를 회복시켜주는 건물은?",실드 배터리,1,5
184,스타크래프트1에서 '제라툴'은 어떤 종족의 영웅인가?,프로토스,1,4
185,"프로토스 종족의 유닛 중, 상대방의 유닛을 스턴시키는 기술을 가진 유닛은?",다크 아칸,2,4
186,스타크래프트1에서 '마이너'가 파괴되는 건물은?,배럭,2,5
187,"테란 종족의 지상유닛 중, 공중유닛에 대한 공격력이 가장 높은 유닛은?",골리앗,1,4
188,"저그 종족의 유닛 중, 지상과 공중 모두 공격이 가능한 공중 유닛은?",뮤탈리스크,1,4
189,"프로토스 종족의 지상유닛 중, 지상과 공중 모두 공격이 가능한 유닛은?",드라군,1,4
190,"저그 종족의 유닛 중, 땅굴을 파서 이동하는 기술을 가진 유닛은?",러커,2,4
191,스타크래프트1에서 '저그의 최종 병기'로 알려진 유닛은?,울트라리스크,1,4
192,"테란 종족의 건물 중, 고스트를 생산할 수 있는 건물은?",배럭,1,5
193,"저그 종족의 건물 중, 저글링을 생산할 수 있게 해주는 건물은?",스포닝 풀,1,5
194,스타크래프트1에서 '테란의 최종 병기'로 알려진 유닛은?,배틀크루저,1,4
195,"테란 종족의 유닛 중, 체력이 가장 낮은 유닛은?",고스트,1,4
196,"프로토스 종족의 공중유닛 중, 공중만 공격 가능한 유닛은?",커세어,1,4
197,스타크래프트1에서 '프로토스의 최종 병기'로 알려진 유닛은?,캐리어,1,4
198,"프로토스 종족의 지상유닛 중, 지상과 공중 모두 공격이 가능한 유닛은?",아콘,1,4
199,스타크래프트1에서 '벌처'가 생산되는 건물은?,팩토리,1,5
200,"프로토스 종족의 건물 중, 지상유닛을 업그레이드 할 수 있는 건물은?",포지,1,5
201,스타크래프트1에서 '뮤탈리스크'가 생산을 가능하게 하는 건물은?,스파이어,1,5
202,"테란 종족의 유닛 중, 지상 유닛에 대한 공격력이 가장 높은 유닛은?",시즈 탱크,1,4
203,"프로토스 종족의 유닛 중, 공중 유닛에 대한 공격력이 가장 높은 유닛은?",스카웃,2,4
204,스타크래프트1에서 '드라군'이 생산되는 건물은?,게이트웨이,1,5
205,"저그 종족의 유닛 중, 적에게 폭발하여 데미지를 입히는 유닛은?",자폭테란병,1,4
206,스타크래프트1에서 '디파일러'가 생산되는 건물은?,디파일러 마운드,2,5
207,"테란 종족의 유닛 중, 공중 유닛에 대한 공격력이 가장 높은 유닛은?",배틀크루저,1,4
208,스타크래프트1에서 '하이템플러' 생산이 가능해지는 건물은?,템플러 아카이브,2,5
209,"테란 종족의 지상유닛 중, 이동속도가 가장 빠른 유닛은?",벌처,1,4
210,"프로토스 종족의 건물 중, 유닛의 실드와 에너지를 회복시켜주는 건물은?",포지,1,5
211,"저그 종족의 건물 중, 유닛을 생산하는 건물은?",하이브,1,5
212,스타크래프트1에서 '퀸'이 생산되는 건물은?,퀸즈 네스트,2,5
213,"테란 종족의 유닛 중, 체력이 가장 높은 유닛은?",배틀크루저,1,4
214,"프로토스 종족의 유닛 중, 공중 유닛에 대한 공격력이 가장 높은 유닛은?",아비터,2,4
215,스타크래프트1에서 '스카웃'이 생산되는 건물은?,스타게이트,1,5
216,2000년 프리챌배 온게임넷 스타리그 우승자는 ?,김동수,2,6
217,2001년 한빛소프트배 온게임넷 스타리그 우승자는 ?,임요환,2,6
218,2002년 코카콜라배 온게임넷 스타리그 우승자는 ?,홍진호,2,6
219,2003년 하나로통신배 투니버스 스타리그 우승자는 ?,박정석,2,6
220,2004년 질레트 스타리그 우승자는 ?,박성준,2,6
221,2005년 당신은 골프왕 MSL 우승자는 ?,최연성,2,6
222,2006년 신한은행 스타리그 시즌2 우승자는 ?,이윤열,2,6
223,2007년 다음 스타리그 우승자는 ?,김택용,2,6
224,2008년 EVER 스타리그 우승자는 ?,박찬수,2,6
225,2009년 Batoo 스타리그 우승자는 ?,이제동,2,6
226,2010년 대한항공 스타리그 시즌1 우승자는 ?,김구현,2,6
227,2011년 진에어 스타리그 우승자는 ?,허영무,2,6
228,2012년 GSL Season 1 우승자는 ?,박수호(Squirtle),2,6
229,2013년 GSL Season 1 우승자는 ?,김민철(Soulkey),2,6
230,2014년 GSL Season 2 우승자는 ?,김유진(sOs),2,6
231,2015년 GSL Season 3 우승자는 ?,전태양(TY),2,6
232,2016년 스타리그 시즌1 우승자는 ?,조성주(Maru),2,6
233,2017년 ASL 시즌2 우승자는 ?,이영호(Flash),2,6
234,2018년 KSL 시즌1 우승자는 ?,이영한(Shine),2,6
235,2019년 GSL Code S Season 2 우승자는 ?,박령우(Dark),2,6
236,2020년 GSL Super Tournament 시즌1 우승자는 ?,김도욱(Cure),2,6
237,2021년 GSL Super Tournament 시즌2 우승자는 ?,신희범(Zoun),2,6
238,2022년 GSL Season 2 우승자는 ?,김준호(herO),2,6
239,2023년 GSL Season 1 우승자는 ?,변현우(ByuN),2,6
240,2004년 MSL 우승자 중 '마재윤' 선수의 별명은?,괴물,2,6
241,2005년 WCG 우승자는 ?,이병렬,2,6
242,'황제'라고 불리던 스타크래프트 프로게이머는 ?,임요환,1,6
243,'천재'라고 불리던 스타크래프트 프로게이머는 ?,김택용,1,6
244,'최종병기'라고 불리던 스타크래프트 프로게이머는 ?,이영호,1,6
245,'폭군'이라고 불리던 스타크래프트 프로게이머는 ?,이제동,1,6
246,'투신'이라고 불리던 스타크래프트 프로게이머는 ?,박성준,1,6
247,'혁명가'라고 불리던 스타크래프트 프로게이머는 ?,김택용,1,6
248,Erangel 맵의 주된 지형은 무엇인가?,섬/혼합 지형,1,1
249,Erangel은(는) 어떤 유형의 맵으로 알려져 있는가?,섬/혼합 지형,1,1
250,Miramar 맵의 주된 지형은 무엇인가?,사막,1,1
251,Miramar은(는) 어떤 유형의 맵으로 알려져 있는가?,사막,1,1
252,Sanhok 맵의 주된 지형은 무엇인가?,정글/우림,1,1
253,Sanhok은(는) 어떤 유형의 맵으로 알려져 있는가?,정글/우림,1,1
254,Vikendi 맵의 주된 지형은 무엇인가?,설원/눈,1,1
255,Vikendi은(는) 어떤 유형의 맵으로 알려져 있는가?,설원/눈,1,1
256,Karakin 맵의 주된 지형은 무엇인가?,작은 전술 맵(파괴 가능한 구조 포함),1,1
257,Karakin은(는) 어떤 유형의 맵으로 알려져 있는가?,작은 전술 맵(파괴 가능한 구조 포함),1,1
258,Paramo 맵의 주된 지형은 무엇인가?,역동적 지형(불안정 지형),1,1
259,Paramo은(는) 어떤 유형의 맵으로 알려져 있는가?,역동적 지형(불안정 지형),1,1
260,Haven 맵의 주된 지형은 무엇인가?,작고 폐쇄된 도시형 맵(근접전),1,1
261,Haven은(는) 어떤 유형의 맵으로 알려져 있는가?,작고 폐쇄된 도시형 맵(근접전),1,1
262,Taego 맵의 주된 지형은 무엇인가?,한국풍 대형 맵,1,1
263,Taego은(는) 어떤 유형의 맵으로 알려져 있는가?,한국풍 대형 맵,1,1
264,M416은(는) 어떤 종류의 무기인가?,돌격소총,1,1
265,M416의 전형적인 전투 역할은 무엇인가?,중거리 전투,2,1
266,AKM은(는) 어떤 종류의 무기인가?,돌격소총,1,1
267,AKM의 전형적인 전투 역할은 무엇인가?,중거리 전투,2,1
268,SCAR-L은(는) 어떤 종류의 무기인가?,돌격소총,1,1
269,SCAR-L의 전형적인 전투 역할은 무엇인가?,중거리 전투,2,1
270,Beryl M762은(는) 어떤 종류의 무기인가?,돌격소총,1,1
271,Beryl M762의 전형적인 전투 역할은 무엇인가?,중거리 전투,2,1
272,Groza은(는) 어떤 종류의 무기인가?,돌격소총(보급 전용으로 등장하는 경우가 있음),1,1
273,Groza의 전형적인 전투 역할은 무엇인가?,중거리 전투,2,1
274,Kar98k은(는) 어떤 종류의 무기인가?,저격소총(볼트액션),1,1
275,Kar98k의 전형적인 전투 역할은 무엇인가?,중거리~장거리 전투,2,1
276,M24은(는) 어떤 종류의 무기인가?,저격소총(볼트액션),1,1
277,M24의 전형적인 전투 역할은 무엇인가?,중거리~장거리 전투,2,1
278,AWM은(는) 어떤 종류의 무기인가?,"저격소총(보급 전용, 최상위)",1,1
279,AWM의 전형적인 전투 역할은 무엇인가?,중거리~장거리 전투,2,1
280,Mini14은(는) 어떤 종류의 무기인가?,지정사수소총,1,1
281,Mini14의 전형적인 전투 역할은 무엇인가?,중거리~장거리 전투,2,1
282,SKS은(는) 어떤 종류의 무기인가?,지정사수소총,1,1
283,SKS의 전형적인 전투 역할은 무엇인가?,중거리~장거리 전투,2,1
284,SLR은(는) 어떤 종류의 무기인가?,지정사수소총,1,1
285,SLR의 전형적인 전투 역할은 무엇인가?,중거리~장거리 전투,2,1
286,MK14은(는) 어떤 종류의 무기인가?,다목적(자동/반자동 가능),1,1
287,MK14의 전형적인 전투 역할은 무엇인가?,근접 전투,2,1
288,UMP45은(는) 어떤 종류의 무기인가?,기관단총,1,1
289,UMP45의 전형적인 전투 역할은 무엇인가?,근접 전투,2,1
290,Vector은(는) 어떤 종류의 무기인가?,기관단총,1,1
291,Vector의 전형적인 전투 역할은 무엇인가?,근접 전투,2,1
292,Micro Uzi은(는) 어떤 종류의 무기인가?,기관단총,1,1
293,Micro Uzi의 전형적인 전투 역할은 무엇인가?,근접 전투,2,1
294,DP-28은(는) 어떤 종류의 무기인가?,경기관총,1,1
295,DP-28의 전형적인 전투 역할은 무엇인가?,근접 전투,2,1
296,M249은(는) 어떤 종류의 무기인가?,경기관총,1,1
297,M249의 전형적인 전투 역할은 무엇인가?,근접 전투,2,1
298,VSS은(는) 어떤 종류의 무기인가?,저소음 저격총(소음기 내장형),1,1
299,VSS의 전형적인 전투 역할은 무엇인가?,중거리~장거리 전투,2,1
300,S1897은(는) 어떤 종류의 무기인가?,산탄총,1,1
301,S1897의 전형적인 전투 역할은 무엇인가?,근접 전투,2,1
302,S686은(는) 어떤 종류의 무기인가?,산탄총(더블 배럴),1,1
303,S686의 전형적인 전투 역할은 무엇인가?,근접 전투,2,1
304,게임에서 Medkit의 주요 용도는 무엇인가?,체력을 100% 회복,1,1
305,게임에서 Bandage의 주요 용도는 무엇인가?,소량 체력 회복,1,1
306,게임에서 Energy Drink의 주요 용도는 무엇인가?,부스트 게이지 증가,1,1
307,게임에서 Painkiller의 주요 용도는 무엇인가?,부스트 게이지 및 회복 보조,1,1
308,게임에서 Adrenaline Syringe의 주요 용도는 무엇인가?,부스트 최대치 충전(특수 상황),1,1
309,게임에서 Smoke Grenade의 주요 용도는 무엇인가?,엄폐 및 시야 차단,1,1
310,게임에서 Frag Grenade의 주요 용도는 무엇인가?,파편 피해 유발,1,1
311,게임에서 Stun Grenade의 주요 용도는 무엇인가?,혼란/섬광 유발,1,1
312,게임에서 Molotov의 주요 용도는 무엇인가?,화염으로 지역 통제(맵에 따라 사용),1,1
313,게임에서 Flare Gun의 주요 용도는 무엇인가?,특수 보급 호출(플레어건),1,1
314,UAZ의 일반적인 탑승 인원은 몇 명인가?,4,1,1
315,UAZ는 주로 어떤 상황에서 유용한가?,이동 및 탈출/팀 이동,1,1
316,Dacia의 일반적인 탑승 인원은 몇 명인가?,4,1,1
317,Dacia는 주로 어떤 상황에서 유용한가?,이동 및 탈출/팀 이동,1,1
318,Buggy의 일반적인 탑승 인원은 몇 명인가?,2,1,1
319,Buggy는 주로 어떤 상황에서 유용한가?,이동 및 탈출/팀 이동,1,1
320,Motorbike의 일반적인 탑승 인원은 몇 명인가?,2,1,1
321,Motorbike는 주로 어떤 상황에서 유용한가?,이동 및 탈출/팀 이동,1,1
322,Boat의 일반적인 탑승 인원은 몇 명인가?,4,1,1
323,Boat는 주로 어떤 상황에서 유용한가?,이동 및 탈출/팀 이동,1,1
324,Mirado의 일반적인 탑승 인원은 몇 명인가?,4,1,1
325,Mirado는 주로 어떤 상황에서 유용한가?,이동 및 탈출/팀 이동,1,1
326,블루존(Blue Zone)의 주요 목적은 무엇인가?,플레이 구역을 축소시켜 전투를 유도,2,1
327,레드존(Red Zone)에 들어가면 어떤 위험이 있는가?,폭격으로 인한 피해,1,1
328,M416은(는) 어떤 종류의 무기인가?,Assault Rifle,2,2
329,AKM은(는) 어떤 종류의 무기인가?,Assault Rifle,2,2
330,SCAR-L은(는) 어떤 종류의 무기인가?,Assault Rifle,2,2
331,Beryl M762은(는) 어떤 종류의 무기인가?,Assault Rifle,2,2
332,Groza은(는) 어떤 종류의 무기인가?,Assault Rifle(보급 전용으로 등장하는 경우가 있음),2,2
333,Kar98k은(는) 어떤 종류의 무기인가?,Sniper Rifle(bolt action),2,2
334,M24은(는) 어떤 종류의 무기인가?,Sniper Rifle(볼트액션),2,2
335,AWM은(는) 어떤 종류의 무기인가?,Sniper Rifle(보급 전용),2,2
336,Mini14은(는) 어떤 종류의 무기인가?,Designated Marksman Rifle(DMR),2,2
337,SKS은(는) 어떤 종류의 무기인가?,Designated Marksman Rifle(DMR),2,2
338,SLR은(는) 어떤 종류의 무기인가?,Designated Marksman Rifle(DMR),2,2
339,MK14은(는) 어떤 종류의 무기인가?,Designated Marksman Rifle(자동/반자동 가능),2,2
340,UMP45은(는) 어떤 종류의 무기인가?,Sub-Machine Gun(SMG),2,2
341,Vector은(는) 어떤 종류의 무기인가?,Sub-Machine Gun(SMG),2,2
342,Micro Uzi은(는) 어떤 종류의 무기인가?,Sub-Machine Gun(SMG),2,2
343,DP-28은(는) 어떤 종류의 무기인가?,Light Machine Gun(LMG),2,2
344,M416의 기본 장탄수는 몇 발인가?,30,1,3
345,AKM의 기본 장탄수는 몇 발인가?,30,1,3
346,SCAR-L의 기본 장탄수는 몇 발인가?,30,1,3
347,Beryl M762의 기본 장탄수는 몇 발인가?,30,1,3
348,Groza의 기본 장탄수는 몇 발인가?,30,1,3
349,Mini14의 기본 장탄수는 몇 발인가?,20,1,3
350,SKS의 기본 장탄수는 몇 발인가?,10,1,3
351,SLR의 기본 장탄수는 몇 발인가?,10,1,3
352,MK14의 기본 장탄수는 몇 발인가?,10,1,3
353,Kar98k의 기본 장탄수는 몇 발인가?,5,1,3
354,M24의 기본 장탄수는 몇 발인가?,5,1,3
355,AWM의 기본 장탄수는 몇 발인가?,5,1,3
356,DP-28의 기본 장탄수는 몇 발인가?,47,1,3
357,M249의 기본 장탄수는 몇 발인가?,100,1,3
358,Vector의 기본 장탄수는 몇 발인가?,13,1,3
359,Micro Uzi의 기본 장탄수는 몇 발인가?,25,1,3
360,UMP45의 기본 장탄수는 몇 발인가?,25,1,3
361,VSS의 기본 장탄수는 몇 발인가?,10,1,3
362,S1897의 기본 장탄수는 몇 발인가?,5,1,3
363,S686의 기본 장탄수는 몇 발인가?,2,1,3
364,SCAR-H의 기본 장탄수는 몇 발인가?,30,1,3
365,QBZ의 기본 장탄수는 몇 발인가?,30,1,3
366,FAMAS의 기본 장탄수는 몇 발인가?,30,1,3
367,G36C의 기본 장탄수는 몇 발인가?,30,1,3
368,AUG의 기본 장탄수는 몇 발인가?,30,1,3
369,Tommy Gun의 기본 장탄수는 몇 발인가?,50,1,3
370,P90의 기본 장탄수는 몇 발인가?,50,1,3
371,R1895의 기본 장탄수는 몇 발인가?,6,1,3
372,Revolver의 기본 장탄수는 몇 발인가?,5,1,3
373,Win94의 기본 장탄수는 몇 발인가?,2,1,3
374,Mk47의 기본 장탄수는 몇 발인가?,30,1,3
375,QBU의 기본 장탄수는 몇 발인가?,20,1,3
376,SKS2의 기본 장탄수는 몇 발인가?,10,1,3
377,SLR2의 기본 장탄수는 몇 발인가?,10,1,3
378,Mini14_2의 기본 장탄수는 몇 발인가?,20,1,3
379,표준 매치의 최대 플레이어 수는 몇 명인가?,100,1,3
380,스쿼드 모드의 최대 팀 인원은 몇 명인가?,4,1,3
381,듀오 모드의 팀 인원은 몇 명인가?,2,1,3
382,솔로 모드에서 한 플레이어는 몇 명인가?,1,1,3
383,UAZ의 일반적 탑승 인원은 몇 명인가?,4,1,3
384,Dacia의 일반적 탑승 인원은 몇 명인가?,4,1,3
385,Buggy의 일반적 탑승 인원은 몇 명인가?,2,1,3
386,Motorbike의 일반적 탑승 인원은 몇 명인가?,2,1,3
387,Boat의 일반적 탑승 인원은 몇 명인가?,4,1,3
388,Mirado의 일반적 탑승 인원은 몇 명인가?,4,1,3
389,메디킷으로 회복 가능한 최대 체력은 몇 퍼센트인가?,100,1,3
